nohup: ignoring input
Files already downloaded and verified
[2023-04-03 21:38:43] [INFO] batch:360/391 lossAver:0.658032
[2023-04-03 21:38:44] [INFO] batch:370/391 lossAver:0.659014
[2023-04-03 21:38:45] [INFO] batch:380/391 lossAver:0.659774
[2023-04-03 21:38:46] [INFO] batch:390/391 lossAver:0.658633
[2023-04-03 21:38:46] [INFO] lossList:[2.302417268533536, 2.142773258716554, 1.574035589652293, 1.311826718432824, 1.0823291354167186, 0.8880585836022711, 0.7709291109343623, 0.6585432231578681]
[2023-04-03 21:38:52] [INFO] testAcc:[0.1042, 0.338, 0.4854, 0.5689, 0.6597, 0.7028, 0.7367, 0.7555]
[2023-04-03 21:38:52] [INFO] epoch: 09 / 50
[2023-04-03 21:38:53] [INFO] batch:10/391 lossAver:0.582983
[2023-04-03 21:38:54] [INFO] batch:20/391 lossAver:0.584879
[2023-04-03 21:38:55] [INFO] batch:30/391 lossAver:0.597262
[2023-04-03 21:38:56] [INFO] batch:40/391 lossAver:0.590112
[2023-04-03 21:38:57] [INFO] batch:50/391 lossAver:0.584254
[2023-04-03 21:38:58] [INFO] batch:60/391 lossAver:0.586097
[2023-04-03 21:38:59] [INFO] batch:70/391 lossAver:0.584598
[2023-04-03 21:39:00] [INFO] batch:80/391 lossAver:0.589443
[2023-04-03 21:39:01] [INFO] batch:90/391 lossAver:0.583990
[2023-04-03 21:39:02] [INFO] batch:100/391 lossAver:0.584038
[2023-04-03 21:39:03] [INFO] batch:110/391 lossAver:0.587826
[2023-04-03 21:39:04] [INFO] batch:120/391 lossAver:0.583284
[2023-04-03 21:39:05] [INFO] batch:130/391 lossAver:0.583414
[2023-04-03 21:39:06] [INFO] batch:140/391 lossAver:0.580210
[2023-04-03 21:39:07] [INFO] batch:150/391 lossAver:0.578169
[2023-04-03 21:39:09] [INFO] batch:160/391 lossAver:0.580129
[2023-04-03 21:39:10] [INFO] batch:170/391 lossAver:0.581703
[2023-04-03 21:39:11] [INFO] batch:180/391 lossAver:0.586823
[2023-04-03 21:39:12] [INFO] batch:190/391 lossAver:0.588075
[2023-04-03 21:39:13] [INFO] batch:200/391 lossAver:0.587895
[2023-04-03 21:39:14] [INFO] batch:210/391 lossAver:0.585827
[2023-04-03 21:39:15] [INFO] batch:220/391 lossAver:0.585037
[2023-04-03 21:39:16] [INFO] batch:230/391 lossAver:0.583942
[2023-04-03 21:39:17] [INFO] batch:240/391 lossAver:0.581209
[2023-04-03 21:39:18] [INFO] batch:250/391 lossAver:0.580896
[2023-04-03 21:39:19] [INFO] batch:260/391 lossAver:0.580982
[2023-04-03 21:39:20] [INFO] batch:270/391 lossAver:0.579868
[2023-04-03 21:39:21] [INFO] batch:280/391 lossAver:0.581093
[2023-04-03 21:39:22] [INFO] batch:290/391 lossAver:0.581774
[2023-04-03 21:39:23] [INFO] batch:300/391 lossAver:0.581518
[2023-04-03 21:39:24] [INFO] batch:310/391 lossAver:0.581737
[2023-04-03 21:39:25] [INFO] batch:320/391 lossAver:0.580487
[2023-04-03 21:39:26] [INFO] batch:330/391 lossAver:0.579834
[2023-04-03 21:39:27] [INFO] batch:340/391 lossAver:0.581041
[2023-04-03 21:39:28] [INFO] batch:350/391 lossAver:0.581710
[2023-04-03 21:39:29] [INFO] batch:360/391 lossAver:0.580397
[2023-04-03 21:39:30] [INFO] batch:370/391 lossAver:0.580135
[2023-04-03 21:39:31] [INFO] batch:380/391 lossAver:0.578806
[2023-04-03 21:39:32] [INFO] batch:390/391 lossAver:0.578849
